Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Call For Help	Typeless	Miscellaneous	—	50%	2 AP
Initial	Pustule Bomb	Poison	Ranged Attack	60	100%	4 AP
Initial	Air Wall	Air	Status Effect	—	100%	2 AP
Initial	Taunt	Poison	Status Effect	—	100%	1 AP
Initial	Toxic Stab	Poison	Melee Attack	90	100%	4 AP
Star-white.png	Bone Cannon	Beast	Ranged Attack	40	100%	3 AP
Star-white.pngStar-white.png	Beast Wall	Beast	Status Effect	—	100%	2 AP
Star-white.pngStar-white.pngStar-white.png	Boil	Water	Melee Attack	90	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Delegate	Typeless	Miscellaneous	—	100%	3 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Last Rites	Typeless	Melee Attack	200	100%	10 AP
