Initial	Spit	Typeless	Ranged Attack	30	100%	0 AP
Initial	Traffic Jam	Plastic	Status Effect	—	Unavoidable	2 AP
Initial	Elemental Wall	Typeless	Status Effect	—	100%	2 AP
Initial	Inflame	Fire	Ranged Attack	60	100%	2 AP
Initial	Multi Smack	Typeless	Melee Attack	20	100%	3 AP
Initial	Water Coating	Water	Status Effect	—	100%	2 AP
Initial	Undertow	Water	Ranged Attack	90	100%	2 AP
Star-white.png	Brick Blast	Plastic	Ranged Attack	40	100%	4 AP
Star-white.pngStar-white.png	Déjà Vu	Astral	Status Effect	—	100%	2 AP
Star-white.pngStar-white.pngStar-white.png	Charge	Lightning	Melee Attack	60	100%	2 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.png	Hypnotise	Astral	Status Effect	—	50%	2 AP
Star-white.pngStar-white.pngStar-white.pngStar-white.pngStar-white.png	Battery	Lightning	Melee Attack	40	100%	3 AP
